SeekSpace® 单细胞空间ATAC转录组：Workflow输入输出与边界条件确认,,,,,,,,,,,,,,,,,,,,
序号,Step ID,步骤名称,文档定位,来源类型,前序依赖,输入/前序产物,输入状态/前置条件（文档已知）,关键试剂/耗材/仪器,关键参数（文档已知）,建议标准输出名（需确认）,输出状态/QC/停止点（文档已知）,需实验人员确认的问题,允许等待/最晚进入下一步,异常与恢复策略,流程属性（人工，全自动，半自动）,实际执行差异/补充,确认状态,需现场观察,填写人,确认日期
1,1-1,实验前准备,PDF p20–28（样本要求/实验前准备）,DOC_CONFIRM,实验起点,OCT包埋新鲜冷冻实体组织；空间芯片、空间标记/提核试剂和自备试剂耗材。,适用OCT包埋新鲜冷冻实体组织；避开坏死、钙化、硬化、纤维化；新鲜组织离体30 min内包埋；切片面积≥3×3 mm、组织厚度≥3 mm；建议RQN/RIN≥7；OCT组织-80℃≤3个月，干冰运输。,SeekSpace Chip、Space Chamber、Tissue Scraper、PCR仪1/2、冷冻切片机、荧光显微镜、冷冻离心机、细胞计数仪、微离心机、振荡仪、恒温混匀仪；PBS、RNase Inhibitor、Buffer T、Fix Buffer B、Labeling Buffer/Enzyme/Enhancer、ssDNA Reagent、NLB、Nuclease-Free Water。,PCR1预设4℃ Hold→4℃5 min→37℃10 min，热盖42℃；PCR2 37℃ Hold无热盖；冷冻切片机箱体-20℃、样本头-15~-10℃；冷冻离心机4℃。Wash Buffer：PBS10 mL+RNase Inhibitor250 μL+Buffer T100 μL≈10 mL；1×PBS-RI：PBS10 mL+RNase Inhibitor250 μL≈10 mL；固定液：PBS950 μL+Fix Buffer B50 μL=1000 μL；N-1：10×Labeling Buffer33 μL+Labeling Enzyme22 μL+Enhancer3.3 μL+RNase Inhibitor-B8.25 μL+ssDNA1 μL+水262.45 μL=330 μL；提核液：NLB3 mL+RNase Inhibitor75 μL。,已完成预冷/预设且试剂配制完成的空间ATAC实验工位,试剂按规定冰上/室温备用；PCR/切片机/冷冻离心机等达到预设条件。,确认实际仪器型号与替代设备；各预配液实际使用时限；RIN/RQN<7或组织不适宜时是否允许继续及审批规则。,各预配液配好后的最大可等待时间文档未给；请分别确认。,样本质控不达标、仪器未达温度/故障、试剂状态异常时的暂停/退样/继续规则需确认。,,,待确认,否,,
2,1-2,芯片准备,PDF p28–29,OBSERVATION_REQUIRED,1-1,SeekSpace®空间芯片。,取出并记录芯片正面编号；不得触碰标记区域正面。,SeekSpace Chip、40–50 mL Nuclease-Free Water、无尘纸、空气罐/晾干工具。,手持编号区域，在40–50 mL Nuclease-Free Water中上下抽拉清洗20–30次；无尘纸吸干背面及标记区周围多余液体，再空气罐吹干或晾干标记区四周及正面。,清洁、干燥、可贴片的空间芯片,合格：标记区域正面无杂质、无明显痕迹、无任何液体残留、无波纹状纹理。,确认20–30次实际次数；是否需要浸泡（本ATAC版本文档未写浸泡1 min）；空气罐距离/时长；提供合格/不合格表面图。,清洁干燥后至预冷/贴片最大室温放置时间未给。,残盐/水痕可否重复清洗；被触碰/划伤后是否报废需确认。,,,待确认,是,,
3,1-3,切片准备,PDF p30,OBSERVATION_REQUIRED,1-2,-80℃保存的OCT包埋组织。,冷冻切片机达到-20℃箱体、-15~-10℃样本头；组织在切片机内平衡30 min。,冷冻切片机、OCT、样品托、刀片、预冷毛刷。,平衡30 min；修片露出目标组织；最终切面<5.5×15 mm。切片厚度通常10–20 μm：核3–5 μm→10 μm；6–10 μm→14 μm；>10 μm→20 μm；核量少→14–20 μm。拼片：单标记区最多3张，间隔≥2 mm，建议相同组织类型且病理结构相似。,可贴片的目标组织切片,尺寸/厚度/拼片间距达到上述条件。,确认各常用组织的厚度选择、目的区域选择规则、裂/卷/缺损/OCT残留的重切标准。,切取后到贴片最长允许时间需确认。,切片不合格时重切次数/组织消耗上限需确认。,,,待确认,是,,
4,1-4,组织贴片,PDF p31–33,OBSERVATION_REQUIRED,1-3,目标组织切片 + 已清洁空间芯片。,芯片正面朝上在切片机内预冷2 min；切片需铺平。,空间芯片、预冷毛刷、冷冻切片机、芯片盒、干冰。,芯片预冷2 min；毛刷轻轻拨动OCT使切片铺平并移至切片台右侧靠边；持芯片标签区，正面朝下对准轻压；立即拿起芯片，用指腹从背面加温数秒至贴合；正面朝上回芯片盒并放干冰；从首片到末片贴片完成建议≤30 min。,贴有组织、置于干冰的空间芯片,组织贴合，避免干燥皱缩、重叠和越界；多样本总贴片时间≤30 min建议值。,量化毛刷角度/速度、压片力、指腹加温秒数/温度；贴合完成图像标准；位置容差；30 min是否硬上限。,单片切取→贴片、贴片→组织标记各自最大允许间隔需确认。,贴歪/皱折/脱落/越界是否可重新调整，何时必须换芯片需确认。,,,待确认,是,,
5,1-5,组织标记,PDF p33–35,DOC_CONFIRM,1-4,贴片后的空间芯片；固定液、N-1、1×PBS-RI。,PCR2 37℃ Hold无热盖；PCR1已设4℃5 min→37℃10 min、热盖42℃；Space Chamber可用。,SeekSpace芯片夹、Space Chamber、PCR仪1/2、固定液、N-1、PBS-RI。,芯片卡入芯片夹→PCR2 37℃90 s，无热盖；贴Space Chamber并按压四周。先加固定液150 μL覆盖标记区，室温10 min；吸走全部液体，用150 μL PBS-RI洗1次；加N-1 150 μL，轻轻吹吸1次覆盖标记区，PCR1：4℃5 min→37℃10 min，热盖42℃；反应后去N-1，150 μL PBS-RI洗2次；再加固定液150 μL，室温12 min。,完成空间标记并处于第二次固定阶段的组织芯片,固定10 min→PBS洗1次→N-1标记→PBS洗2次→固定12 min。,确认ATAC版本中先固定10 min再N-1的流程与现行SOP一致；腔室贴合/漏液标准；“轻轻吹吸1次”参数；气泡处理；固定计时起点。,各液体切换间允许最大间隔未给。,腔室漏液、气泡、组织脱落、固定/标记超时的恢复规则需确认。,,,待确认,是,,
6,1-6,组织荧光拍照,PDF p35–36,OBSERVATION_REQUIRED,1-5,Step1-5第二次固定中的组织芯片。,荧光显微镜已开机；固定期间成像，非拍照时间关激光。,荧光显微镜（说明书示例LEICA DMi8）、空间芯片。,10X；Black and White Mode；Live Format bin2×2；推荐手动对焦，芯片标记区域四角和组织内分别定焦；覆盖整个标记区域和组织；增益=1、FIM=100%，降低灯强至组织不过曝。固定中拍照12 min；未完成可换提核液后续拍，但≤10 min。其他显微镜需拼接功能。,ssDNA组织荧光图像 + 图像元数据,芯片边缘和组织区域同时清晰、组织形态边界清晰且不过曝。,确认曝光/灯强/增益实际范围、清晰/过曝阈值、对焦点规则、文件名/格式/路径与样本ID映射。,固定阶段目标12 min；换提核液后续拍≤10 min。,气泡补救：固定结束去固定液→150 μL PBS-RI洗→打开气泡区域盖片→37℃烤1 min或空气罐吹2–3 s→重拍。失焦/过曝重拍次数需确认。,,,待确认,是,,
7,1-7,组织切片提核,PDF p37–39,OBSERVATION_REQUIRED,1-6,固定/荧光拍照完成的组织芯片。,提核液NLB冰上；Tissue Scraper、研磨棒、40 μm筛和离心设备可用；组织不能干燥。,1×PBS-RI、NLB提核液、Tissue Scraper、研磨管、A/B研磨棒、40 μm细胞筛、Wash Buffer、Buffer T、离心机。,吸尽固定液→加150 μL PBS-RI轻柔洗1次并去液→立即加150 μL NLB；将腔室液转新1.5 mL管并揭Space Chamber；立即向组织加150 μL新NLB。Tissue Scraper与芯片标记区成20°，按单一方向轻刮白色组织，不可来回用力刮或刮无组织区域；回收到前述管。再加150 μL NLB洗芯片并回收，若仍有组织可重复“加NLB→刮取→回收→洗”1次；再用150 μL NLB洗1次。将所有组织提核液转研磨管，再以300 μL提核液洗原管并加入，研磨管总体积≤1 mL；冰上A棒上下20–25次，再B棒20–25次；回收至5 mL管。用1 mL PBS-RI清洗研磨管/棒并回收，重复2次（共3次清洗）；加Buffer T 7.5 μL，吹打混匀，1000 g、4℃、5 min，去上清留50 μL；加1 mL Wash Buffer重悬；40 μm筛先用300 μL Wash Buffer湿润，过滤；用1 mL Wash Buffer洗筛，重复1次；1000 g、4℃、5 min，去上清，用PBS-RI重悬至45 μL。,45 μL带空间标记的单细胞核悬液,完成单向20°刮取、A/B双研磨、40 μm过滤和两次1000 g 4℃5 min离心，最终重悬45 μL。,量化刮板20°允许误差、刮取压力/速度/次数；如何判断“白色组织完全刮下”和触发重复；A/B研磨20–25次实际选值/速度/行程；去上清留50 μL容差；重悬吹打参数。,固定结束→PBS/NLB、组织暴露→加NLB均强调立即；请给最大允许秒/分钟；提核后到QC的冰上时限。,刮取后仍残组织仅允许重复1次的现行执行是否一致；刮到空白区/标签污染、研磨过度、滤网堵塞、沉淀丢失时的处理需确认。,,,待确认,是,,
8,1-8,核悬液质检,PDF p39–40,DOC_CONFIRM,1-7,Step1-7的45 μL单细胞核悬液。,细胞计数仪可用；若结团率>30%，文档给出30 μm过滤补救。,细胞计数设备、30 μm细胞筛。,单个样本标记区域总细胞核≤20万；单管基因组片段化反应1000–2.5万；有核率>5%；结团率<30%。若结团率>30%，将大块组织吸出，用30 μm细胞筛过滤后再合并回单细胞核悬液。,空间ATAC核悬液QC结果（核数、有核率、结团率、PASS/处理后PASS/FAIL）,总核≤20万；单反应1000–25000；有核率>5%；结团率<30%；>30%按文档30 μm过滤。,确认核数不足1000/反应时是否允许合并或终止；30 μm过滤后是否重新计数；有核率/结团率计算方法、重复次数。,QC完成到片段化最大冰上等待时间未给。,过滤后仍>30%、有核率≤5%、核数过高/过低的稀释/过滤/终止规则需确认。,,,待确认,是,,
9,2-1,实验前准备,PDF p40–41,DOC_CONFIRM,1-8,通过QC的空间标记核悬液；基因组片段化试剂。,Tn5-BM、RNase Inhibitor-B、Reaction Buffer冰上解冻振荡瞬离；PCR仪打开。,Tn5-BM/ATAC-BM、RNase Inhibitor-B、Reaction Buffer、Nuclease-Free Water、PCR仪。,根据总核数确定反应数；单管核≤2.5万；推荐每样本最多投入10万核。单反应15 μL：Reaction Buffer3 μL+RNase Inhibitor-B0.5 μL+核悬液X μL（≤2.5万）+水(9.5-X) μL+ATAC-BM2 μL。文档同时给单样本×4.5用量：13.5、2.3、核X（≤11.25万）、水42.7-X、ATAC-BM9 μL，总67.5 μL。可分4×15 μL或1管合并反应。,按核数计算完成的片段化反应体系,每管≤2.5万核，建议单样本≤10万核。,确认实际采用4管还是1管的选择规则；文档“×4.5可≤11.25万”与“建议最多10万”的关系；Tn5/ATAC-BM命名是否为同一试剂版本。,配好片段化体系后上PCR最大冰上等待时间未给。,核数>10万、单管>2.5万或不足1000时如何拆分/缩放需确认。,,,待确认,否,,
10,2-2,基因组片段化反应,PDF p41,DOC_CONFIRM,2-1,Step2-1配置的15 μL/管（或合并）片段化体系。,PCR仪已设置热盖50℃。,PCR仪。,PCR体积15 μL：37℃60 min→4℃ Hold，热盖50℃。反应结束后文档要求立即进入下一步。,基因组片段化产物,完成37℃60 min片段化；进入油包水前不得长时间停留。,确认合并反应时PCR体积是否仍设置15 μL还是按实际总量；4℃Hold最大允许时间。,文档写“立即”；请给最大延迟上限。,PCR中断、反应延迟、多个片段化管如何合并并进入Step3的规则需确认。,,,待确认,否,,
